iteration,timestamp,r2,rmse,mae,mape,residual_skew,residual_kurtosis
1,2025-11-17T17:24:02,0.8927844223976061,40148.942354016064,21700.704163984345,7.857911538075355,-2.0589416693665776,49.52462615023822
2,2025-11-17T17:24:03,0.910003082426325,36784.002360539205,20645.639583459815,7.5969941327830375,-1.4228395988760023,36.33008048195794
8,2025-11-17T17:24:09,0.9115902170084931,36458.20869437348,21081.27105064752,7.743662482200647,-0.495620583424151,29.563548431409487
26,2025-11-17T17:24:27,0.9223733286792761,34162.57877950778,20070.258226727954,7.437032980854312,-0.09010115189208771,19.904182427438755
36,2025-11-17T17:24:39,0.9263999398672412,33264.74885341211,19930.644942802915,7.573965032708912,-1.2683266389069865,27.739342581475604
39,2025-11-17T17:24:42,0.9277810573409263,32951.161460435396,19571.586154696983,7.30023802155322,-0.16827412887144633,21.31436365263557
43,2025-11-17T17:24:48,0.9290351710167026,32663.80276989409,19829.34801709648,7.52041830288517,-0.7993509602835163,22.475196122679087
51,2025-11-17T17:25:00,0.9291613257527943,32634.756505327863,19611.557546104363,7.380171145734874,-1.229402209229196,25.646442212856876
73,2025-11-17T17:25:29,0.9291906605715766,32627.998658652785,19826.4427018057,7.530802517870532,-1.1750727712452655,22.573106331070555
80,2025-11-17T17:25:40,0.930126369380848,32411.70064953587,19303.203839801827,7.3199892964545015,-1.6020563407255062,28.700660141329315
96,2025-11-17T17:26:05,0.9306121799163554,32298.829668830076,19674.650111066,7.39518014571388,-0.6187363570773817,20.97482788618518
111,2025-11-17T17:26:29,0.9306466220798746,32290.812558247497,19756.210865957335,7.410681700187786,-0.30066204115957557,18.34592461113401
